time,x_actual_x,x_actual_y,x_actual_z,x_desired_x,x_desired_y,x_desired_z,x_d_actual_x,x_d_actual_y,x_d_actual_z,x_d_desired_x,x_d_desired_y,x_d_desired_z,disturbance_x,disturbance_y,disturbance_z,force,force_error,tracking_errorstiffness,dotproduct
0.02323914,-0.3881549,1.086554,-0.2703553,-0.3153582,1.137067,-0.2961879,0.07557863,-0.03031064,-0.09722617,0.1627545,-0.01918582,-0.1641963,0,0,0,0,-10,0.04571668,255,0
0.04594421,-0.3867646,1.086207,-0.2726625,-0.3122423,1.137049,-0.2996858,0.07055189,-0.02290717,-0.1049163,0.1356016,-0.007571889,-0.1429869,0,0,0,0,-10,0.04386966,255,0
0.06846619,-0.3853622,1.08585,-0.2751898,-0.3091873,1.137131,-0.3033587,0.06290182,-0.01568972,-0.104386,0.1409729,-0.0007874526,-0.1582564,0,0,0,0,-10,0.04225657,255,0
0.09111023,-0.3843436,1.085519,-0.2772307,-0.3065571,1.137265,-0.3065501,0.06156203,-0.01566686,-0.110937,0.1341024,0.003589669,-0.1612237,0,0,0,0,-10,0.0405619,255,0
0.1159973,-0.3833091,1.085025,-0.2793558,-0.3040356,1.137405,-0.3095919,0.04553473,-0.01477767,-0.09123998,0.1175819,0.005973951,-0.1426687,0,0,0,0,-10,0.03923083,255,0
0.1359177,-0.3822001,1.084343,-0.2814589,-0.3012697,1.137606,-0.3129343,0.03449444,-0.01647959,-0.07085705,0.08407331,0.004658484,-0.1014234,0,0,0,0,-10,0.03790893,255,0
0.1558151,-0.3811825,1.083576,-0.2833308,-0.2992756,1.137777,-0.3155156,0.07492349,-0.04609375,-0.1420868,0.1868758,0.01363563,-0.2258255,0,0,0,0,-10,0.0367281,255,0
0.1787643,-0.3804766,1.082949,-0.2846948,-0.2975636,1.137946,-0.3178895,0.05067588,-0.03818389,-0.09322165,0.09930068,0.008518949,-0.1285441,0,0,0,0,-10,0.03577216,255,0
0.2011185,-0.379537,1.082014,-0.2866253,-0.2955922,1.138185,-0.3207972,0.03048806,-0.0270696,-0.05890651,0.07393688,0.007279654,-0.1025201,0,0,0,0,-10,0.03510481,255,0
0.2226944,-0.3786267,1.080932,-0.2887585,-0.2936447,1.138497,-0.3239735,0.04201718,-0.04184259,-0.08632933,0.08815784,0.01069388,-0.1300324,0,0,0,0,-10,0.03420144,255,0
0.2456436,-0.3781672,1.080323,-0.2899939,-0.2925935,1.138687,-0.325895,0.04279641,-0.05086531,-0.1002903,0.09155869,0.01465544,-0.1493286,0,0,0,0,-10,0.03322589,255,0
0.2695618,-0.3776102,1.07945,-0.2917778,-0.291343,1.138932,-0.3284955,0.01980357,-0.02623006,-0.05324883,0.04530787,0.008179875,-0.08281609,0,0,0,0,-10,0.0326698,255,0
0.2884216,-0.3771603,1.078511,-0.2937684,-0.2903244,1.139144,-0.3313222,0.02328798,-0.03651814,-0.07458383,0.05228269,0.01027711,-0.1087271,0,0,0,0,-10,0.03185827,255,0
0.3132553,-0.3769954,1.078022,-0.2948982,-0.2898831,1.139204,-0.3329476,0.02381929,-0.04970214,-0.1053741,0.05392392,0.01122021,-0.1496365,0,0,0,0,-10,0.03092005,255,0
0.3339844,-0.3768734,1.077257,-0.2966605,-0.2894296,1.139185,-0.3353918,0.00662828,-0.01967149,-0.04543668,0.01774893,0.002387619,-0.06536946,0,0,0,0,-10,0.03036482,255,0
0.3577118,-0.3768943,1.076585,-0.2982193,-0.2892819,1.139102,-0.3372867,0.00588814,-0.03689364,-0.08505154,0.0218842,-0.0009089654,-0.1179555,0,0,0,0,-10,0.02944844,255,0
0.3788376,-0.3770254,1.075945,-0.2998468,-0.2892916,1.138984,-0.3395067,-0.0008822193,-0.02847334,-0.06601373,0.006255048,-0.003493538,-0.08024788,0,0,0,0,-10,0.02859121,255,0
0.4046631,-0.3774488,1.075222,-0.3019961,-0.2895628,1.13888,-0.3420606,-0.006271947,-0.03058874,-0.07782287,-0.0004645887,-0.005671972,-0.1061599,0,0,0,0,-10,0.02767369,255,0
0.4236069,-0.3780944,1.074678,-0.3041282,-0.2900948,1.138849,-0.3444508,-0.01612676,-0.02752652,-0.08186892,-0.01032812,-0.003945982,-0.09728277,0,0,0,0,-10,0.02635846,255,0
0.4446793,-0.3789294,1.074279,-0.3061455,-0.2908721,1.138826,-0.346578,-0.03517086,-0.0296849,-0.1161549,-0.02898353,-0.001688487,-0.1302116,0,0,0,0,-10,0.02499431,255,0
0.4677811,-0.3797999,1.074024,-0.3078526,-0.2916769,1.138818,-0.3482082,-0.03852214,-0.01839691,-0.09307078,-0.0358616,-0.001077965,-0.09813886,0,0,0,0,-10,0.02363239,255,0
0.4897156,-0.380753,1.073822,-0.3094607,-0.2925236,1.138895,-0.3496448,-0.03776817,-0.01105284,-0.07406488,-0.03491704,-0.000362049,-0.07072885,0,0,0,0,-10,0.02243872,255,0
0.5117188,-0.3816119,1.073642,-0.3107768,-0.2931922,1.139073,-0.3505365,-0.043957,-0.009307926,-0.07416377,-0.0390515,0.003557134,-0.06625506,0,0,0,0,-10,0.02128882,255,0
0.5355301,-0.382407,1.073542,-0.3119996,-0.2939459,1.139358,-0.3512328,-0.03887366,-0.008136222,-0.05956492,-0.03025995,0.008087664,-0.04036009,0,0,0,0,-10,0.02034825,255,0
0.5574875,-0.3831621,1.0735,-0.3131027,-0.2949358,1.139698,-0.3518467,-0.03312863,-0.004186864,-0.05094515,-0.03140148,0.01184043,-0.02900757,0,0,0,0,-10,0.01956296,255,0
0.5786362,-0.3837563,1.073525,-0.3139321,-0.2958692,1.140035,-0.3523297,-0.03472588,-0.001929825,-0.05073465,-0.04552631,0.01565789,-0.02823465,0,0,0,0,-10,0.018895,255,0
0.6027451,-0.3843091,1.073597,-0.3146878,-0.296892,1.1405,-0.3527934,-0.02808612,0.00118892,-0.03920055,-0.04411682,0.01594618,-0.02283177,0,0,0,0,-10,0.01842443,255,0
0.6235733,-0.384744,1.07366,-0.3152816,-0.2977135,1.141031,-0.3528271,-0.02267703,0.002944053,-0.03100303,-0.04196254,0.0190581,-0.01902142,0,0,0,0,-10,0.01803187,255,0
0.6512604,-0.3851014,1.073618,-0.3155205,-0.2984471,1.141914,-0.3520284,-0.01821793,0.002636625,-0.02487316,-0.03441095,0.02226151,-0.001410694,0,0,0,0,-10,0.01775166,255,0
0.6705093,-0.3850975,1.073636,-0.3154158,-0.2988225,1.142567,-0.3512477,-0.01439694,-0.001699831,-0.009622772,-0.02954777,0.0355668,0.03216954,0,0,0,0,-10,0.01746073,255,0
0.6902237,-0.3847238,1.073785,-0.3146872,-0.2992236,1.144088,-0.3488697,0.0002101873,0.001008899,0.005678291,-0.02036877,0.03538261,0.04235436,0,0,0,0,-10,0.01744165,255,0
0.7119293,-0.3841872,1.073899,-0.3137493,-0.2992218,1.145376,-0.3464281,0.01840281,0.007319449,0.03587528,-0.01974843,0.07492604,0.1170906,0,0,0,0,-10,0.01766346,255,0
0.7340927,-0.3831072,1.07414,-0.3119764,-0.2989832,1.147001,-0.3430157,0.02496561,0.005319267,0.04363851,8.320021E-05,0.0599097,0.1136043,0,0,0,0,-10,0.01804195,255,0
0.7556915,-0.38154,1.074435,-0.3093987,-0.2983878,1.149258,-0.3379341,0.0469995,0.01045817,0.07715233,0.01038295,0.07070157,0.1484972,0,0,0,0,-10,0.01897676,255,0
0.7781219,-0.3794005,1.074788,-0.3059579,-0.2976815,1.151547,-0.3326786,0.07574265,0.01425378,0.1245794,0.02877546,0.1090869,0.2455954,0,0,0,0,-10,0.0206274,255,0
0.8025665,-0.3766876,1.0753,-0.3018681,-0.2969143,1.154464,-0.3261093,0.09313377,0.01539148,0.1497841,0.03074664,0.099671,0.2287757,0,0,0,0,-10,0.02330653,255,0
0.8228226,-0.3730328,1.076104,-0.296598,-0.2963126,1.157696,-0.3187561,0.112708,0.0212708,0.1699064,0.03187401,0.1211519,0.272915,0,0,0,0,-10,0.02711897,255,0
0.845253,-0.369993,1.07677,-0.2921427,-0.2959782,1.160584,-0.3122478,0.1821426,0.0400606,0.2626485,0.02998752,0.1611217,0.3664657,0,0,0,0,-10,0.03264255,255,0
0.8679733,-0.3664248,1.077558,-0.2868503,-0.2958895,1.163757,-0.3050264,0.1349237,0.02957797,0.1977491,0.01483925,0.1281747,0.2888773,0,0,0,0,-10,0.03750205,255,0
0.8888168,-0.3623704,1.078403,-0.2806551,-0.2961358,1.167245,-0.2968357,0.1551228,0.03422989,0.2300788,0.003858312,0.1379301,0.3139407,0,0,0,0,-10,0.04341607,255,0
0.9115219,-0.3588524,1.079148,-0.2752038,-0.2966161,1.170251,-0.2900275,0.1973316,0.04114255,0.3015312,-0.0119871,0.1697862,0.3986493,0,0,0,0,-10,0.05039255,255,0
0.9340668,-0.3545722,1.080131,-0.2685568,-0.29762,1.174071,-0.2813972,0.1517306,0.03213948,0.2351128,-0.02071508,0.1296273,0.2936384,0,0,0,0,-10,0.05659382,255,0
0.956131,-0.3508099,1.081111,-0.2627437,-0.2990767,1.177584,-0.2738165,0.1944595,0.04467071,0.3019876,-0.04561038,0.1735594,0.3920927,0,0,0,0,-10,0.0642461,255,0
0.9776917,-0.3473857,1.082137,-0.2571276,-0.3009493,1.180804,-0.2666853,0.1715258,0.04464674,0.2650245,-0.06641304,0.160163,0.345606,0,0,0,0,-10,0.07102351,255,0
1.003113,-0.3440706,1.083318,-0.2511912,-0.303319,1.183789,-0.2597471,0.1577576,0.04725945,0.2587379,-0.08626977,0.1483579,0.3285424,0,0,0,0,-10,0.07746752,255,0
1.028206,-0.3414155,1.084551,-0.2457803,-0.306338,1.186561,-0.2528419,0.09354313,0.03332885,0.1675121,-0.06686793,0.08422026,0.1957818,0,0,0,0,-10,0.08411408,255,0
1.046303,-0.3390148,1.086118,-0.2396268,-0.3111526,1.189742,-0.2439744,0.1682861,0.07815522,0.3429453,-0.1913496,0.175683,0.4376549,0,0,0,0,-10,0.08997262,255,0
1.064949,-0.3377301,1.087511,-0.2347226,-0.3156505,1.191827,-0.2372651,0.141295,0.09226959,0.3621709,-0.2833654,0.1872334,0.5219045,0,0,0,0,-10,0.09628268,255,0
1.086525,-0.337381,1.088483,-0.2313338,-0.3196154,1.193071,-0.2322356,0.0654707,0.07095645,0.2499241,-0.2292173,0.1062281,0.3419184,0,0,0,0,-10,0.1009577,255,0
1.107872,-0.3375361,1.08962,-0.2274307,-0.3239602,1.19406,-0.2273471,0.01648789,0.04593468,0.1600648,-0.1872776,0.05875563,0.2375591,0,0,0,0,-10,0.103874,255,0
1.130379,-0.3383014,1.090685,-0.2237548,-0.32928,1.195013,-0.2218487,-0.007116567,0.0521362,0.179064,-0.1993254,0.04541477,0.2242682,0,0,0,0,-10,0.1069299,255,0
1.162315,-0.3395825,1.091719,-0.2201054,-0.3357007,1.195743,-0.2156413,-0.0340362,0.04736279,0.1634925,-0.2366071,0.0423683,0.2445495,0,0,0,0,-10,0.1094881,255,0
1.178253,-0.3429875,1.092968,-0.2144396,-0.34606,1.195931,-0.206503,-0.03927814,0.03169956,0.1118896,-0.1968595,0.0223867,0.1903216,0,0,0,0,-10,0.1117911,255,0
1.198349,-0.3457645,1.093382,-0.2111905,-0.3527213,1.195674,-0.2010119,-0.2329356,0.08550528,0.3875913,-0.7086725,0.01284414,0.6251386,0,0,0,0,-10,0.114734,255,0
1.218826,-0.3487949,1.093622,-0.2081816,-0.3589863,1.195208,-0.1960568,-0.1343612,0.01998547,0.1572046,-0.3223009,-0.01242386,0.2656827,0,0,0,0,-10,0.1161083,255,0
1.241959,-0.3522896,1.09366,-0.2051727,-0.3656182,1.194482,-0.1910214,-0.1505713,0.01197048,0.1495036,-0.3112799,-0.02314135,0.2461974,0,0,0,0,-10,0.117272,255,0
1.263298,-0.3572624,1.093406,-0.2014112,-0.3740838,1.193351,-0.1848639,-0.1515232,0.001617805,0.1304607,-0.2875507,-0.0314981,0.2183287,0,0,0,0,-10,0.1183535,255,0
1.285034,-0.3619585,1.092935,-0.1981927,-0.381714,1.192217,-0.1795206,-0.2296663,-0.01173251,0.1737221,-0.3909801,-0.05223199,0.2843827,0,0,0,0,-10,0.1196769,255,0
1.308846,-0.3688739,1.092036,-0.1938803,-0.3927852,1.190375,-0.1721643,-0.2198326,-0.02203125,0.1506613,-0.3571819,-0.05310826,0.2501256,0,0,0,0,-10,0.1208797,255,0
1.331177,-0.3746572,1.091137,-0.1906079,-0.4014219,1.188782,-0.166779,-0.2913565,-0.03788975,0.181689,-0.4664484,-0.07760266,0.309936,0,0,0,0,-10,0.1226924,255,0
1.355194,-0.3859485,1.089216,-0.1848575,-0.4156812,1.185874,-0.1583924,-0.2519213,-0.03915337,0.1425463,-0.3762151,-0.06935963,0.2345801,0,0,0,0,-10,0.1242722,255,0
1.377144,-0.3925332,1.088049,-0.1817516,-0.425037,1.184023,-0.1530321,-0.4708777,-0.08011355,0.2398087,-0.5946498,-0.1212814,0.3497455,0,0,0,0,-10,0.1276777,255,0
1.397011,-0.3999915,1.086661,-0.1783967,-0.4351841,1.182055,-0.1474412,-0.3068177,-0.05436256,0.1447187,-0.4359378,-0.08625688,0.2497667,0,0,0,0,-10,0.1299588,255,0
1.419899,-0.4068817,1.085367,-0.1754092,-0.4426653,1.180621,-0.143473,-0.3616598,-0.06731525,0.1626838,-0.4920459,-0.09542638,0.2711079,0,0,0,0,-10,0.1328265,255,0
1.441978,-0.4155339,1.083765,-0.1718243,-0.453264,1.178759,-0.1380433,-0.3042861,-0.05715654,0.1319333,-0.3303808,-0.06332126,0.1752416,0,0,0,0,-10,0.1357607,255,0
1.464104,-0.4267504,1.081775,-0.1674805,-0.4647561,1.176862,-0.1323268,-0.3970766,-0.07352941,0.1645248,-0.4864116,-0.08545606,0.2491903,0,0,0,0,-10,0.1397803,255,0
1.486183,-0.4348204,1.080433,-0.1644996,-0.4739401,1.175384,-0.1278992,-0.4971823,-0.08818059,0.1925436,-0.5094017,-0.08411185,0.2533871,0,0,0,0,-10,0.1454479,255,0
1.509613,-0.447515,1.07848,-0.1600466,-0.4867173,1.173477,-0.121971,-0.3781758,-0.06291898,0.1396893,-0.4303774,-0.06923713,0.2074879,0,0,0,0,-10,0.1498624,255,0
1.531662,-0.4620305,1.076427,-0.1553048,-0.499651,1.171642,-0.1162406,-0.541109,-0.08323679,0.1898069,-0.5446253,-0.08130081,0.252688,0,0,0,0,-10,0.1572972,255,0
1.553047,-0.4712147,1.075227,-0.1524357,-0.5085032,1.170489,-0.1124667,-0.6445008,-0.091167,0.2105405,-0.5742704,-0.0814596,0.2544382,0,0,0,0,-10,0.1664139,255,0
1.577049,-0.4860997,1.073462,-0.148033,-0.521878,1.168848,-0.1070172,-0.4388628,-0.05732205,0.137099,-0.4229972,-0.05508339,0.1803312,0,0,0,0,-10,0.1725163,255,0
1.598763,-0.4983826,1.072199,-0.1445784,-0.5326112,1.167643,-0.1028209,-0.6127512,-0.07264349,0.1812407,-0.550585,-0.06755457,0.2243321,0,0,0,0,-10,0.1828296,255,0
1.621193,-0.5095289,1.071206,-0.1415685,-0.5427601,1.166589,-0.09901851,-0.5470423,-0.05624044,0.1538582,-0.4780225,-0.05367609,0.1868894,0,0,0,0,-10,0.1917067,255,0
1.64138,-0.5207492,1.070346,-0.1386443,-0.5524883,1.16564,-0.09550953,-0.5156981,-0.04594842,0.1392572,-0.4695497,-0.04875574,0.1759233,0,0,0,0,-10,0.2000095,255,0
1.671539,-0.531432,1.069668,-0.1359524,-0.5613095,1.164856,-0.09244913,-0.545701,-0.04183673,0.1422194,-0.473136,-0.04615607,0.1706604,0,0,0,0,-10,0.2085783,255,0
1.687675,-0.548897,1.068856,-0.1317531,-0.5750804,1.163712,-0.0878886,-0.3556543,-0.0225862,0.08962051,-0.2936782,-0.02610252,0.1018879,0,0,0,0,-10,0.2169072,255,0
1.709,-0.5622985,1.068542,-0.1286334,-0.5859001,1.162898,-0.08449394,-1.132136,-0.05264744,0.272205,-0.8926689,-0.07414534,0.295627,0,0,0,0,-10,0.2308113,255,0
1.729286,-0.5730908,1.068489,-0.1261947,-0.5962525,1.162177,-0.08140266,-0.618723,-0.01445271,0.1440345,-0.4995267,-0.03757925,0.1567261,0,0,0,0,-10,0.2417183,255,0
1.753082,-0.5830287,1.068604,-0.1239962,-0.6050136,1.161622,-0.07890433,-0.5081071,-0.00251998,0.1148134,-0.4873973,-0.03394958,0.1455387,0,0,0,0,-10,0.2506168,255,0
1.777443,-0.5937663,1.068933,-0.1216497,-0.6153948,1.161061,-0.07609123,-0.4326065,0.004997301,0.09570377,-0.3813803,-0.02418217,0.1087549,0,0,0,0,-10,0.2588935,255,0
1.799248,-0.6064509,1.069548,-0.1189354,-0.6279361,1.160497,-0.07290035,-0.4429985,0.01360364,0.0968091,-0.4282932,-0.02313995,0.1160588,0,0,0,0,-10,0.2679236,255,0
1.821365,-0.6177104,1.070321,-0.116556,-0.6383601,1.160103,-0.07041776,-0.5797049,0.02806289,0.1240466,-0.5731564,-0.02578561,0.1458279,0,0,0,0,-10,0.2786829,255,0
1.843941,-0.629034,1.071354,-0.1141818,-0.6502602,1.159742,-0.06780249,-0.5169166,0.03551883,0.1092354,-0.4785628,-0.01807137,0.1139749,0,0,0,0,-10,0.2868813,255,0
1.86441,-0.6439577,1.072999,-0.1111624,-0.6682709,1.159362,-0.06425673,-0.4939138,0.04506032,0.1035618,-0.5190568,-0.01576539,0.1140729,0,0,0,0,-10,0.2875718,255,0
