time,x_actual_x,x_actual_y,x_actual_z,x_desired_x,x_desired_y,x_desired_z,x_d_actual_x,x_d_actual_y,x_d_actual_z,x_d_desired_x,x_d_desired_y,x_d_desired_z,disturbance_x,disturbance_y,disturbance_z,force,force_error,tracking_error,stiffness,dotproduct
0.0228653,-0.3294055,1.151767,-0.2268395,-0.2727049,1.148088,-0.2359993,-0.050581,-0.07358595,-0.08554234,-0.07476877,-0.09724239,-0.0857239,0,0,0,0.3166563,-9.683344,0.04685365,255,0.01715889
0.05625153,-0.3306721,1.150227,-0.2292387,-0.2744849,1.146013,-0.238498,-0.02830003,-0.0373466,-0.05104921,-0.04316787,-0.05218003,-0.05479321,0,0,0,0.2569128,-9.743087,0.04552062,255,0.0147858
0.07258606,-0.3320746,1.148802,-0.2319989,-0.2765695,1.143949,-0.2413985,-0.03794643,-0.04612143,-0.07187857,-0.05332679,-0.06215714,-0.07486071,0,0,0,0.3048916,-9.695108,0.04305537,255,0.01603848
0.08860016,-0.3329971,1.148076,-0.2336765,-0.2778621,1.143011,-0.2430054,-0.09069168,-0.0921929,-0.1784811,-0.1348013,-0.1334407,-0.187554,0,0,0,0.4336593,-9.56634,0.0403832,255,0.02473075
0.1121063,-0.3339239,1.147498,-0.2352253,-0.2790202,1.142421,-0.24436,-0.05821761,-0.04579923,-0.1058693,-0.08156671,-0.05923507,-0.1014045,0,0,0,0.5361871,-9.463813,0.03875749,255,0.02988083
0.1339493,-0.3352456,1.146943,-0.2373473,-0.280717,1.141865,-0.2465171,-0.03798516,-0.02368179,-0.06347717,-0.04746863,-0.02415572,-0.05552054,0,0,0,0.5693442,-9.430655,0.03723232,255,0.02946312
0.1556091,-0.3363622,1.146757,-0.2392277,-0.282391,1.141718,-0.2486352,-0.06101813,-0.02561421,-0.09797134,-0.07833414,-0.02568576,-0.09958942,0,0,0,0.6315877,-9.368412,0.035184,255,0.0291394
0.1785889,-0.3374542,1.146799,-0.2408612,-0.2838933,1.141905,-0.2502608,-0.05255134,-0.008741023,-0.08849865,-0.07878703,-0.006917639,-0.09968301,0,0,0,0.6157251,-9.384274,0.03352781,255,0.02518557
0.1999893,-0.3386713,1.146954,-0.2423324,-0.2858269,1.142287,-0.2521519,-0.04717499,0.001787039,-0.07057,-0.06490246,0.008080298,-0.0702301,0,0,0,0.5477002,-9.4523,0.03205923,255,0.02010389
0.2212677,-0.3398354,1.147094,-0.2434128,-0.2880102,1.142702,-0.2539602,-0.05601382,0.007132198,-0.0677065,-0.08898789,0.01755618,-0.08703202,0,0,0,0.5221327,-9.477867,0.0305778,255,0.01836651
0.2440567,-0.340916,1.147157,-0.2441407,-0.289629,1.142972,-0.2549899,-0.0563478,0.00677391,-0.05229297,-0.1056736,0.02011978,-0.08752424,0,0,0,0.5087887,-9.491211,0.0292617,255,0.01805465
0.2667236,-0.3427975,1.147182,-0.2450021,-0.292354,1.143412,-0.2564982,-0.04655911,0.00274285,-0.031363,-0.06975006,0.01160318,-0.04436586,0,0,0,0.4629881,-9.537012,0.02809593,255,0.01766731
0.2893982,-0.3452517,1.147136,-0.2457911,-0.2955015,1.144078,-0.258255,-0.08284084,0.0011022,-0.03792619,-0.1199797,0.01937248,-0.06641018,0,0,0,0.4448938,-9.555106,0.02613406,255,0.01903973
0.3113327,-0.3479682,1.147287,-0.2465481,-0.2987198,1.145018,-0.259827,-0.1098593,-0.002059853,-0.03532168,-0.1408945,0.02981451,-0.07864263,0,0,0,0.4191379,-9.580862,0.02362273,255,0.01843488
0.3319855,-0.3507378,1.147573,-0.2471953,-0.3019976,1.146063,-0.2612891,-0.1212747,0.006742805,-0.03379385,-0.1436744,0.04200017,-0.07017945,0,0,0,0.4435634,-9.556437,0.02090139,255,0.01969858
0.3538208,-0.3522789,1.147778,-0.2474861,-0.3038722,1.146915,-0.2619939,-0.133165,0.01372203,-0.03111817,-0.1576056,0.05023959,-0.07030103,0,0,0,0.4845039,-9.515496,0.01817128,255,0.01755421
0.378273,-0.3549222,1.148413,-0.2477983,-0.3068784,1.14862,-0.262853,-0.07158044,0.009545535,-0.01350439,-0.08706702,0.03954974,-0.03273388,0,0,0,0.5782816,-9.421719,0.01666939,255,0.01632501
0.4019623,-0.3578677,1.149522,-0.2478107,-0.3102036,1.150877,-0.2635273,-0.1078646,0.02588924,-0.01274031,-0.1226772,0.06958768,-0.03505653,0,0,0,0.6802155,-9.319784,0.01415944,255,0.01371141
0.4207535,-0.3602713,1.150776,-0.2474642,-0.3130806,1.153277,-0.2636226,-0.1223702,0.04608261,-0.0005150555,-0.1381389,0.09377971,-0.02801357,0,0,0,0.6955466,-9.304454,0.01145986,255,0.02015353
